gene,coef_covid
IFI27,1.169692372491797
S100A8,0.9595119328415411
MT-CO1,-0.8091226428671218
IFI44L,0.7067523532402697
HLA-DQA2,-0.6805104932518512
TXNIP,-0.6701963854398886
FOS,-0.6109883982211965
S100A12,0.5857668814814218
IGLC3,0.5647663523571218
EGR1,-0.5621142050042778
IGHM,0.5370180110354952
ALDH1A1,-0.5170486275275352
FOSB,-0.5048513090845841
CD1C,0.49944736984753146
IGHG1,0.4946234506108866
MXD1,0.4712624147517283
RPH3A,-0.4664324468449301
CSF3R,-0.461757567014877
NFKBIA,0.4495188999250131
ABTB1,0.44784952091171815
BRMS1,-0.44364928904404016
PLBD1,0.4297288581442798
SLAMF7,0.42616582129654434
SELL,0.4237724805515847
IRS2,-0.41534722657834494
IFIH1,0.4086990981231702
GBP2,0.4076131613976859
MT-RNR2,0.4031049242060317
SLC25A37,0.4029522992341726
CD163,-0.4023284214245389
CYP27A1,-0.3946822302185473
CLEC4E,-0.38252426473012474
CDKN1C,-0.3773517677837424
MT-CO2,-0.3719840071550229
IGHG4,0.3685953417720297
PBX2,0.3628652702290467
HLA-DOA,0.35667288997617147
HLA-E,-0.3536283170182684
SAT1,-0.35026167517258583
TNFAIP3,0.3496668622527261
NLRP3,-0.3474623631489652
ACTN1,0.3440782255611876
KIF2A,0.34340323680709745
NEDD9,-0.3433218682286688
IGF2R,-0.3419579113618738
MS4A7,-0.3376286400776862
RN7SL2,0.33719219987426724
LGMN,0.3360993730295323
RN7SL5P,0.3344235811367257
GBP1,0.3316936212615051
PADI2,-0.3290611604086796
CCDC88B,-0.3286995784245529
CX3CR1,0.3088479898232019
SIPA1L2,0.30776596631090963
MTSS1,0.30479124727412094
HLA-DPA1,-0.30412663460712047
TMEM176B,0.30101573251816816
SNN,-0.29598595644126535
CRISPLD2,-0.28603668635391893
SYNE2,-0.28153114907733223
CDKN1A,0.2801074386265891
SLC44A2,-0.277237079351021
SLC38A1,0.2765837960738008
LRP10,0.27441281170302856
MKI67,0.2738728538335052
SPATS2L,0.2736036896190391
SIGLEC10,0.27006724698822804
ATP8B4,0.2653662287855457
PLEKHF2,0.2629632164366193
KMT2D,0.26277420830376863
F13A1,0.2616113845421112
NEBL,-0.2612137942988626
APOBEC3A,0.2601415967113829
GBP5,0.25809502729957573
RNF144B,-0.2565155233185169
GNLY,-0.2547090307189038
CES1,0.2484176721338063
SIGLEC5,-0.24785631096663374
AFF1,0.24627320318338844
SCARF1,0.24539028789598344
INO80D,0.24441850284715577
IFI44,0.24357651920885354
SPOPL,-0.24315510691168998
RETN,0.23906381864780188
FMNL2,-0.2385703324427465
AGTPBP1,0.23726522581129644
NAP1L1,-0.23486055699246047
PLEKHG3,-0.23483089526456755
EIF1AY,0.23447217305636928
S100A9,0.2338865334687377
CENPF,0.23313251384609332
CDK5RAP2,-0.2312259224687365
CST7,0.23060700663364578
EMP1,0.22989054058364375
PRF1,-0.22972730848345954
FCER1A,-0.2294783351566792
ADD2,-0.22911235029453136
MSR1,0.22728098624118326
IGLC2,0.22243782000886897
SAMD9,0.22191405369985362
VMO1,-0.22106846738077152
PDCD4-AS1,-0.2200802851864702
IFI6,0.21910464271364638
KAT6B,0.2162951257201313
CD8A,0.21412651726978577
AQP9,0.21387504844764302
SDC3,0.21382352712435987
IL2RG,0.21281447583188184
TMEM154,-0.20979877202671995
CTSL,0.20779195141185067
VNN2,-0.20682421569932502
TRANK1,-0.20634439791774514
TSC22D1,-0.2027720207818019
HLA-DQB1,0.20244190516222774
NARF,-0.20124985247790594
IVNS1ABP,-0.20108609811363887
FADS1,0.19820663851592138
NCOA1,0.1969781032043572
CAPRIN2,0.19690945353970443
CSF1R,-0.19672186482650558
BASP1,-0.19454187187515587
DGAT2,0.19335514037053128
C3orf62,0.19325409662543724
LILRA4,-0.193065818116471
CDH23,-0.19160891954551262
IFIT3,0.19124794436594822
FEM1C,-0.190684638072693
FRAT2,-0.1904866460138868
TP53I3,0.18952927478311682
HLA-DRA,-0.1877733409166371
IGHG2,0.18774149734997714
SYNE1,0.1876984822805313
GBP4,0.18748383517721606
C1QA,0.18703273873238088
SYS1,0.18575294984906202
TRIM23,-0.18296774062682022
FAM222B,0.18280927071309228
CCL28,0.1825303961971665
LTB,0.1822080961518174
LAMC1,0.1819554369059534
CHSY1,0.18124439988737845
BCL2A1,0.17989837390459243
RNF19B,0.17932371090012847
LGALS3BP,0.17886115071214184
SMCHD1,-0.17874530233522554
C22orf46,-0.17805892886996003
IL3RA,-0.17786050450589966
LYZ,0.17768614410829095
PPP1R3B,0.1758099013797199
FANCI,-0.17575107181491964
EGLN1,0.1757184644021157
OPRL1,-0.17309516546619502
PTGS2,0.1722779551992492
MSRB1,-0.17151574292449037
IL1R1,0.17077385629660596
ITGB3,0.16928831880778444
RASA4B,-0.16910340838376195
BTN3A1,0.1688633221408356
SIGLEC1,0.1684054190238718
THBS1,-0.16812804385590063
SPON2,-0.16715048973633997
APOBR,-0.16702039486800135
HP,0.1665713315207084
CADM1,0.16495084785061936
MAST4,0.16481670661380712
PCYT1B,-0.1644814742756797
LIN7A,0.16371335838841294
IFITM2,0.16352319165373935
EPHB4,0.16341726523474637
IRF8,-0.16338323483651107
CLEC5A,0.16190495953476772
BIRC3,-0.1616441102722156
IL7R,0.16137463966453816
EEPD1,-0.16135095251021747
SERPING1,0.16098833455164552
RFFL,-0.16054712887261896
MYH11,-0.16006295353880826
CSF2RB,0.15959978223341623
PADI4,-0.15957643074803923
VPS39,0.15752458488195548
FGFBP2,-0.15681711887575434
ITGAX,0.1566130194498278
CDK14,0.1560217267788405
HIVEP2,0.15434722421122657
PDPR,-0.1533184742312508
ASCC1,0.15147825957746777
ADCY9,0.1507359519061574
KIF21B,-0.1503230434280751
OTOF,0.150097001514019
EMC1,0.14938072018311682
UEVLD,-0.14921209184232262
ALOX5AP,0.14909732725268363
XKR8,-0.14783749581537683
ZNF14,0.14766758432675117
MME,-0.14761243259143278
BMS1,-0.14739243710834343
SLC45A4,0.14724551556255303
PRKCE,-0.1472261871218461
SORL1,-0.14609890710835685
NAA10,-0.14572891212095995
IGKC,0.14546559789920765
PI4K2A,-0.14430521177425726
ACSL1,0.14364604931705283
PTPRCAP,0.14148063672311598
XYLB,-0.14132099301361656
IDO1,0.14044663300870205
GRIP1,0.13985979809948046
ZNF490,-0.13918441696685277
KCNC3,0.1384856108756104
WDFY2,0.1381370723777486
FCGR3A,-0.1362285556712481
SUPT3H,-0.13552242840207004
NCF4,-0.135149995572214
VNN1,-0.13482934711663833
IFIT2,-0.1346739409933593
PTP4A3,-0.134519478724975
TSGA10,-0.13446936621147784
GNG11,0.13337357868347366
ESCO1,-0.133197138147631
TSTD2,-0.13255797698283847
CLEC10A,0.13248463354296908
MARCKS,-0.1317610280013742
FBXO33,0.1316591476561456
MAML2,0.13117726488721315
IGLV1-44,0.13072059784144213
ZC3H12A,0.13034441113958378
CD74,-0.12930060093338025
ACOT1,-0.12893916717260548
DDX39A,0.12890619960731145
SH2D1B,-0.12831102048330334
IGKV4-1,0.12769562882930333
RHOB,-0.1272717643685473
ECE1,0.1261278977732585
PIM2,-0.12518242815027752
IGHA2,0.12516191853405173
ING5,0.12432819307552162
PPARGC1B,0.12384199560706231
IL32,0.1234419384315422
ITM2C,0.1229031427828626
PLEKHA5,0.12228807129002194
TCF7,0.12157929821638938
STEAP4,0.12144411068116508
NCAPD2,0.12134393548182627
PAN3,-0.12124430760814396
IGHA1,0.12118000311116443
LINC00937,-0.12075050950980619
ZNF516,0.1206562380518826
REG4,-0.1200711809947896
EFCC1,-0.11917769972304272
SELP,-0.11883023125595485
CLK3,-0.11822311279834795
HTR7,0.11784205182644321
IFRD1,-0.11783245601680262
MNDA,0.11737288971750216
ZEB1,0.11670363228154468
UBE2S,0.11629700205403835
NSUN3,0.11601041127367724
LIMK2,0.11461344621958301
TNS3,-0.11398288801884777
FCGR3B,0.1133159031396041
TLR6,-0.11308276283250235
ABI2,-0.11271914804473462
ZBTB37,-0.11227693962189503
ITGA2B,0.11135213131960796
TRIM13,-0.1106097031763578
KLHL5,-0.11059276905634804
C1QB,0.10995133903904167
YAP1,0.10986750026457129
SERPINF1,-0.10934697147604215
ANKRD62P1-PARP4P3,-0.1090243371500987
CLUL1,0.10824899897382448
SOGA1,0.10759447269233019
EREG,0.10735874191892392
MDN1,-0.1068646821665059
TACC3,0.10654806831249514
BCL2,0.106307236590979
DHRS7B,-0.10629220469795364
MYLK,0.10624008421112204
SH3BGRL2,0.10575653947613572
PPIL1,0.10574668927673822
CCNG2,-0.10567552360766487
TCF4,0.105594142927893
BTN2A1,-0.10523698263444296
CKB,-0.10502487474378036
FGFR1,0.10494836022217595
UHRF2,0.1041604632873591
NIT1,-0.10380786561481532
LMNA,0.10356409964707514
PAX5,0.10341342906863851
PTGDS,-0.10240732346008523
EIF2AK2,0.1022224953225475
BTBD7,0.10209481467010027
ZNF805,-0.10191052014309834
GZMA,-0.10177628966199388
GPD1,-0.1017321226804244
DST,0.1013863941346953
MGAM,0.10116460331387701
TSPAN2,-0.10079370350817222
TXNDC16,0.10062511981615475
CACNB3,-0.10058068596094467
C15orf48,0.10055545079604405
SLC3A1,0.1004250899273177
CCL5,0.10020436839308812
ECM1,0.09981193719010228
MMRN1,0.09972944589401747
ZNF689,0.09934182726606257
CUEDC1,-0.09909613911577173
IFIT1,-0.09875598982878724
EFNA5,0.09851864474061867
CCND2,0.09826082918832957
GATAD1,-0.09821270394719407
PPBP,0.09821228027841113
TREML1,0.09776505291890275
PRICKLE3,0.09747817341813472
ADM,-0.09730952864490285
CENPU,-0.09718530558601404
MALAT1,0.0964755090102088
TRAC,0.09618184622261222
CSAD,0.0943036778562075
NABP1,-0.09360871962931824
RPS6KA5,-0.09351657222397088
C8orf17,0.09338683975600692
PEX7,-0.0933171722030977
MT-TR,-0.0932981640755383
KDM6B,-0.09302085467481437
SLPI,0.09299643957732648
TDP2,-0.0928932206638196
NAMPT,0.09178515773137905
MYH10,0.09175447400397005
TP53INP1,0.09111421581438918
DVL1,-0.09063958899436278
RASA4,-0.09036355406135708
HERC5,0.08999374356137443
ARL4C,-0.08993666565814232
AHCTF1,0.08959656322154605
GNAZ,0.08941509618125908
STK33,0.0892839958276556
SVIP,0.0890858808894308
DTYMK,0.0889628368064886
GZMB,-0.08893317369460492
LYNX1,-0.0888288865081834
TECPR2,-0.08820588109459596
IGHG3,0.08761175524466171
RNASE1,0.08740413017145202
NT5DC4,0.08661962886394253
ZNF793,-0.08579039926916326
SCAMP5,-0.08571538450619509
TRMT10A,0.08569822608893389
HBB,0.08541005478640525
ETS1,0.08539711367836775
CDCP1,0.08532976182906063
PF4,0.08468044390099962
AMOT,-0.08453504963282435
CDC14B,0.0844187686878324
XPO6,-0.08428025804735685
MTA3,0.08413547205205786
HLA-DPB1,-0.083821543941414
GMPR,0.08379765445609655
ORAI2,-0.08379645387625477
RAPH1,0.08351947859368838
SLC16A6,0.08349874381260877
FNIP1,0.08288186713414503
MAGEA10,0.08263401481700486
ABCA10,0.08243815250355223
S100P,-0.08234626098313291
SCN8A,-0.08212693381373057
OAS3,0.08196471308083923
ZFP36L1,0.08168488048247945
SLC51A,0.08167234604755334
CREG2,0.08151363414667862
CXCL1,-0.08150228106368894
ACRBP,0.08148082864806275
MTURN,-0.08086829358745379
SUCO,0.07978926447874081
CYP1B1,0.079703631147558
APOBEC3F,0.07952694788102337
PXDC1,0.07933171875614249
CDC42BPB,0.07923934835084705
DHX34,-0.07915747863311956
PECR,0.07912968618338506
ZSCAN22,0.07904277341805849
CYYR1,-0.07898010786540065
VAX1,0.07865294991019896
C4orf47,0.07865294991019896
EFCAB13,0.07844527748154934
SCN3B,-0.078344641188428
ANKRD26,-0.0781597535573855
PSTPIP2,-0.07771410961164871
AMMECR1-IT1,0.0761444655371886
FAM85B,0.0761444655371886
LINC01104,0.0761444655371886
KBTBD13,0.0761444655371886
MYH13,0.07606595658681141
MYB,-0.07578640228879598
MMP25,0.07569516739859675
YPEL3,-0.07556256788763371
CLTCL1,0.0754715551245286
TRERF1,0.07546673450719525
MYH14,-0.07518732156803444
RPH3AL,-0.07509504284130193
ISG20,-0.07500719633585486
LPIN1,-0.07429678619932226
FAM171B,0.07374635780096434
HAVCR1,-0.07374148582133118
CEP68,0.0736202449007873
AKAP11,-0.07361248498211191
IGHD,0.07331629844863924
RGS6,0.07310592513370642
CMTM2,-0.07294567997843647
TSC1,0.0727903559932182
CABYR,0.07183767015181232
EXOC6B,0.07180997260357824
CD247,-0.07152458090354404
FFAR2,0.07141453554299641
TOB1-AS1,-0.07120659371016828
SV2A,-0.07093811207453322
GTPBP10,0.06956704009067999
CXCR2,0.06948643757881948
SESN3,0.06948085592054565
ZNF746,-0.06924060831860787
CLEC4C,-0.06922776595876277
MPDZ,0.06914976579556559
KREMEN1,0.06891977189136819
MPO,0.0687699705652124
ZDHHC18,0.06841354346777187
G0S2,-0.06803897264435221
ENPP2,0.06757816488776655
RN7SKP80,0.06747515870389251
SHD,-0.06690219207010538
PLEKHH2,0.06683040316345652
DNM3,0.06638667892603634
KIAA1671,-0.06608040265757387
SPARC,-0.06587693395157368
IL1R2,-0.06496180748971273
GPRC5A,0.06469883421695109
SRPK1,-0.06457476290965511
HBG1,0.06353747484058984
SLC39A8,0.0630279238828827
PNPLA4,-0.06300801414330676
MUC1,0.06288390347745486
SLCO4C1,0.06281497638063285
LINC00996,-0.06280350607195771
LINC00115,-0.0622149818767104
ABCA13,0.06216027212657306
FAM8A1,0.06193776043217382
HSPA1A,-0.061676423511191555
NIF3L1,-0.06155165259325412
ESYT1,-0.06146403593669157
FLNB,0.06110567246866918
ZNF398,0.061094642856926104
NTRK3,-0.06036685961894154
C3orf14,-0.06035463263084091
ABCC9,-0.059631961241628596
TRAFD1,-0.059508322302153326
BLNK,-0.05868899711942084
TMCC3,-0.05849857802315815
IFIT1B,-0.05844708443663588
IGHMBP2,0.05832711521805986
STARD7-AS1,0.058287105462103125
ADCY2,-0.0580728348798586
PXT1,-0.058008866298562216
MAP1A,-0.05785541199658305
GIGYF1,0.05779943578608316
GNAO1,0.05714308721754126
DHX8,0.05706865544051152
CCDC125,-0.05679199768596458
PDE4B,0.05674423420036918
PDE6A,-0.05667910112094403
TTC7B,0.056596592072918075
EDNRA,-0.056472435328792904
TNFRSF10C,0.056449880390712304
OSGIN1,0.05593564080196794
BAIAP2L1,0.05592674430355714
P2RY12,0.05565044200201189
CLEC18C,0.055564832565120466
L2HGDH,-0.05528300198637522
ESRP1,0.055147160407478836
ZNF251,-0.05513197363609449
RNA5-8SP6,0.05495873733319602
ATP8B1,0.05493814949331233
PIRT,-0.05483630448835425
CDC42EP2,-0.05480550919779381
TRGV2,0.05464919851714326
LGI2,-0.05404516872359649
RN7SL146P,0.05397447591579232
NCCRP1,0.05397447591579232
LZIC,-0.05395301715104951
ACKR3,0.05387863292491289
DIRC3,-0.053494994151695084
IKZF2,-0.05307874583235876
HBA1,0.05299491227649489
ATP9A,0.052885396612246505
ZNF215,-0.05266611270408363
NSMCE2,0.051999502988597526
MROH6,-0.05199101745760134
PIGR,-0.051751999695054035
LINC01094,-0.05165709111884549
DNAH2,0.05144791689130913
HLA-DQA1,-0.05139931872554234
TUBG2,-0.05115818681351794
CLSPN,0.05095957376289594
PRPF40B,0.05075906721693378
WDR87,0.05043953099607307
GBP3,0.050404670515611816
LDB2,-0.05039304931769887
PRG4,-0.05037992097566189
PIK3R3,-0.05035975115399231
GP9,0.049594249191075225
CDR2L,0.049171012309850014
EPAS1,0.04907915652821928
PI3,0.04898143377977887
SUMO4,-0.04868185903880322
CCNF,0.04839718720067649
P2RX1,0.048385673081605615
PNPLA1,-0.04835413267414055
MS4A1,0.04830890457627152
SDR39U1,0.04824089646490134
NAV2,0.04814230268491656
RN7SL230P,0.048116859649587604
TDRP,-0.04808132070082808
VWA2,-0.04808132070082808
MEG3,-0.048034453804966265
MAP1B,0.04782695635869464
PPIAL4G,-0.047820671095151125
RBAK-RBAKDN,0.047807319296103996
KCNJ15,0.047378278565269175
TAL1,0.04709012734313801
CBY1,0.04681554482644345
PROK2,-0.04666200649432518
PPFIBP1,0.04661513779995239
CLDN5,-0.04617530994739081
HTR3E-AS1,-0.04616044646463074
AURKA,0.045921145005522385
WDR91,-0.04577394276882144
LINC01043,-0.045283765558097974
NR4A3,0.045148392326220484
LINC00211,-0.04501569693409554
FAM227B,0.044896131679747445
ZNF555,-0.044792034526443515
PLAC9,0.044772457012109294
TCF7L2,0.04451900854330387
ZNF780A,0.044480193475404814
KCTD7,0.04440418810757684
TRAPPC13,-0.0442842279275968
GPNMB,0.04426905045452952
HSD17B8,-0.04420045031079561
MZB1,0.044180307051607484
AKR1C2,-0.044161320488828995
NGRN,-0.04410144894014186
TOP2A,0.04399598242278823
CLDN18,0.0438663269852403
SCARF2,-0.04356516119316273
LRG1,0.04323711286264402
TLR9,-0.04322382699038495
NME8,-0.043126278894854986
GEMIN5,0.04305719010286272
MUC19,0.04304896146116394
SLC10A1,-0.042857960297783826
MUC16,-0.0425991451328851
ALDH1L2,-0.042587373410919595
PROZ,0.04255758455222836
P2RX6,0.04254156041855402
GAB4,0.04249168901056691
RAB27B,0.04233015168639203
TMEM243,0.042301791896683705
GP1BA,0.04211766967602472
SSPN,-0.042010591093783495
PC,0.04189952130795556
TUBB1,0.04186431755765619
TBX6,0.04184815812968423
CDH1,-0.0415965129814822
DUSP16,-0.04152626123537468
DONSON,-0.04142000820642202
SMCO3,0.04137720950171735
GPD1L,-0.04136465348786031
LTBP1,0.04096763349874489
CEACAM3,-0.04068932345523985
AKAP5,-0.0406495929812254
EVA1C,0.04055217311321315
PPM1N,-0.04052256112242534
RNF207,-0.04044507597111909
LRFN1,0.040407296032402375
DEFA1B,0.039553451870266314
CD79A,-0.03937990815973966
ARHGEF15,-0.03934334816223222
CLEC1A,-0.0393268267996346
TMSB4Y,-0.03927469729226804
HBA2,-0.03918553758916474
DDX11,0.039155885549281955
JUP,-0.03913720347410241
IGLV3-9,0.03908916451599605
COBLL1,0.039044132748247425
ALPK1,0.03900711835294659
C1QC,0.038998342680195495
XK,0.038965323096924596
NUP153,-0.03878643124458757
GALNTL6,0.03852053770125592
CAMP,-0.03851849640457253
L3MBTL4,0.03826374417627533
GADD45B,0.03825657919217497
TTC39A,-0.03821756654473838
IGLV3-10,0.03815073320873836
TNFRSF9,0.03813942246980606
IGF1R,0.03785978778735883
GRHL1,0.03770598219727893
GPR174,0.03770538596851683
NUP210L,0.037670502213558416
GSTT1,-0.03765952771842483
ABCA1,0.03757181757708933
BCYRN1,0.03739395259376432
RN7SL744P,0.03724105597478005
GSDMB,-0.03720873087404822
RMDN2,0.03720174501477936
ZDHHC19,0.037170041884960835
LINC00842,0.03715741247176185
ST18,-0.03704022733061735
HSBP1L1,-0.036633784645823474
ALKBH6,-0.036606954147851
SLC1A2,0.03647783069125905
RN7SKP168,0.0364232564277913
FAM161B,-0.03614460332100814
FOXP1-AS1,-0.03574595324039811
NEAT1,0.03561063677205288
UBE2NL,-0.03553632372345401
LRWD1,0.03552285829453721
CEP63,-0.0353605538320512
KRT23,0.03529321974629528
AHNAK2,-0.035210332312138354
SMAGP,-0.03517336340835731
IGLV4-69,-0.035170705188990174
ABCG1,-0.035084407652186615
ZNF763,-0.03504773006575306
UNC5C,-0.035002975637510425
XBP1,0.034852583593162394
CLRN1,0.03481273057779968
TBC1D30,-0.034686956140726206
STXBP1,-0.034669455004612826
THSD4,-0.03463299753810949
BPI,0.03454008396492154
C17orf97,0.034535622461421826
FCGR2A,0.0345232784112486
RBBP5,0.03438999229674343
GATA2,0.03432563934964554
OSBPL5,0.03391255439042422
PIK3IP1,0.0339020347890424
ATP11B,0.033852420030475776
ITGA6,0.03344998219645567
MOCS3,0.03339687743472911
CD1A,-0.03327013451936691
AZU1,0.03322294359539768
DHRS9,-0.033102606213463066
SOCS2-AS1,-0.03307413763949654
ABHD12B,-0.03296815780746322
IGKV1-33,0.03287474362417953
SNX25,0.0328585179845018
IL1RN,0.03237225056514956
AOC3,0.03234156447712312
IGHV3-74,0.03205683870811873
PPIL6,-0.03191534688699907
PIF1,0.03172899171966413
GPD2,0.03162860376126047
ABHD4,-0.03150044904868345
RAB30,0.03146008711151858
SAG,-0.03142638890729914
MBOAT2,0.03141993009432665
MYL6B,0.03131688029287729
NAPSA,0.031242367088913342
PAFAH1B3,0.03123668698601542
ZYG11A,0.031234121944326693
FDXR,-0.030918112772334985
CASQ1,-0.030762446573556035
RN7SL353P,0.03073826700754948
OXLD1,-0.03073758956492428
RAP2A,0.03055777256848362
ZFHX4,0.030517699801507873
LGALS4,-0.030514289254278355
HOPX,-0.030308786276553142
AFF2,-0.030246343723794696
KIFC1,-0.030243449607500625
WNT9B,0.03013516087352085
TBXA2R,0.030127656191990777
SEMA4F,0.03008249127437689
SCARNA6,0.02998304499309704
HSD3B7,0.0297089121328134
UVRAG,0.029481269053580363
GARNL3,0.02935541917497338
CCZ1B,0.029348622989192344
ABLIM1,0.028901793128384815
TEX2,-0.02866721878079542
C6orf132,-0.02866232628280083
CXCR1,-0.02863601348633898
GRM2,0.02824488739116811
CACNA1S,0.02799609571782242
RFC5,-0.027680666657127963
FAT3,-0.027631992562469135
UBAP1L,-0.027620399684609998
DNMT3A,-0.027570476839755328
ZNF585A,-0.027408839711524895
USP53,0.02700377365542872
HEMGN,0.02698661615627234
FPR3,-0.026962435772791258
KCNH3,0.0269533179079244
PPARGC1A,-0.02695176808871973
